4c0e115bc700c9b6ce42a3dd,Anıtkabir,39.926785883895654,32.83658981323242
4bed1e076e8c20a191e76f61,Middle East Technical University (Orta Doğu Teknik Üniversitesi),39.900058812442516,32.78871443373877
4ce9209e0f196dcbd6f949ae,HD İskender,39.95000145779153,32.830823079079785
4f25511ce4b04f6e6a110d1b,Starbucks,39.921511769411495,32.85350662474845
526a5c75498eebe69656a206,Atatürk ve Kurtuluş Savaşı Müzesi,39.925612908349684,32.83707484317509
504c7b1ee4b0a3d4a12cef7f,Aslanlı Yol,39.9257615479001,32.83573849063544
4fc242e5e4b0730dec7adde9,Big Chefs,39.89772972979436,32.86354441042523
4c3266e6213c2d7f2a6c355d,Mısır Cafe,39.907142276909596,32.85946143841054
4ce552543598b1f7bf6a678d,ÜstKat,39.90223932768795,32.86032735827388
4bd9c61cd2cbc9289fcfd1ad,Kıtır,39.90256805084637,32.85995976137315
4c741383d8948cfa3dfa63da,Cinemaximum,39.91025686041167,32.77829711066916
4d6ca943129a6ea87ed2e755,ODTÜ Çarşı,39.89261369598051,32.78834312928724
5257b21a11d2d78a7c0f745f,MACFit,39.952379431590344,32.83057360504055
55141e35498e23555da44d3a,ANKAmall Teras,39.950229133354696,32.83042129667021
4c666233e75ac928be6cf7da,Cinemaximum,39.95036371547469,32.83158816630422
4b6ff98df964a520fa012de3,Starbucks,39.951289684600695,32.831585165462826
4d15b25f25cda143a9786bd6,Özsüt,39.94988646571607,32.83055375437172
538a48ee498e8301b317310b,Nostalji Cafe,39.93555669998547,32.850563805388546
4d8368b55ad3a0934edeb9fd,Lunapark,39.93606374701362,32.849164307900935
4d122dae7a8ba1433410c769,May 19 Stadium (19 Mayıs Stadyumu),39.93966188457122,32.84624773386316
4d6a60d5c16554813c66f781,Atatürk Kültür Merkezi,39.94273289537199,32.84089410508425
4bb871ef1261d13a669fe898,Gençlik Parkı,39.93728152410024,32.85270806216338
4bf54122706e20a17935aa98,Ankara Arena,39.93770285714359,32.84375822163065
4d5a7986e092a35d4c150b0c,Tandoğan Square (Tandoğan Meydanı),39.93437030317228,32.837693909564706
5841253483622d2034c9bfc7,Luppa,39.899055631771894,32.862892244071155
57454ccf498ef13b747d9136,MACFit,39.902897348859156,32.86246263743806
5559bd74498e14df52d8a3bc,The Bigos,39.90745519059005,32.85870341398384
4d596f8b1d4a8cfaa0708ced,Café des Cafés,39.906511147527894,32.861387292385196
4c0e8e8e5ab6c9b657f6effe,Elizinn,39.90683289233203,32.86127041586609
4c46eb0a1ddec9289cb49b32,Starbucks,39.9033348086715,32.860374030979436
513b4b92e4b0242463e331f1,Kahve Dünyası,39.90231487729262,32.86094173745771
4c6e9ef2d5c3a1cd4dc0c82b,D&R,39.90218011609038,32.860856157466564
4c0a1193a1b32d7fadc498f0,Karum,39.900379963396354,32.86361557603867
578cfeb6498e194175142eef,ODTÜ Kocatepe Kahve Evi,39.889738745159384,32.79054758048337
4c528f79f31a9c740cfa82ea,Çatı Cafe,39.89263344074838,32.78223833901992
4cfd28a2dccef04dab24c49c,Mado,39.91027669710867,32.776840195976696
4c5d5bd72815c9288a81b467,Gelato Ice & Caffé,39.910617749700286,32.77605465323004
4df073d9d22d4336871794f1,Most Life Club,39.91089818684314,32.77538409864069
4c2636165c5ca5935bb145fe,Timboo Cafe,39.90904494300517,32.77615964412689
4d8747cdf1e56ea832acac8a,Makara,39.892618309128515,32.7883802478733
4c2ef2cd3896e21eac2ce390,Sunshine,39.8898260124398,32.79062755685921
4d470ce1e198721e287dd58b,ODTÜ Black Ball,39.89262107898102,32.78830630700913
4ba0b957f964a520887937e3,Susam,39.8924805955321,32.7881193142057
4cf4c51de3b9a093d9865053,ODTÜ Tenis Kortları,39.89265794647716,32.78826260839323
4b5012c1f964a520401c27e3,Doyurucu,39.89191628965413,32.788887760892194
4f706eaf7716576a9122a906,Bauhaus,39.912117760293846,32.77839409087364
4c230829497cb7137d0e6dd8,Starbucks,39.91015410968129,32.778621376525265
4e9ae54ccc215f3adcf67c02,Şençam Köftecisi,39.939506443711664,32.79596353069314
4f7f4fcce4b03e09b1e57b47,Özdemir Kokoreç,39.939546230569654,32.79546781412139
4c5f1a411e5cd13a37b39eed,Park Center,39.93689622987077,32.79458041122063
4ca7a00497c8a1cdac787ca5,Doğata,39.939656289925445,32.795594742558
4bc49ea2461576b06a298032,Twister,39.90696968497273,32.85993518099366
53bd6e03498e2f2284455fbc,OT,39.9073626798796,32.85876311451094
50c72bc5e4b0650838b20633,Leman Kültür,39.90715317526697,32.85969153531722
55e018a5498e8cb6cf30c94b,Louise Brasserie & Lounge,39.8973699225174,32.87168707790318
50d37093e4b0aa088d0810d8,Nusr-Et Steakhouse,39.89920112599478,32.8650227731548
57f781ed498e5fcfddc8ed93,Starbucks,39.89936878638999,32.862768232538876
4fbbc655e4b0182c68eba0a5,La Gioia Cafe Brasserie,39.900679392101544,32.862317856537125
4e8473ebb803a2692588268d,Meşhur Mithatpaşa İşkembe & Kebapçısı,39.923530778586,32.857199776325594
4beeb08ad355a59327280b60,Corvus,39.90680167132551,32.86007035412583
4bf30ee3706e20a1c4cba798,Profesör Kokoreç,39.90695280685205,32.86001732461051
59fb9fc2286fda734fa59fd4,ZeuS,39.895719433026514,32.797917308319605
55e431d4498e7d1810acc323,Bla Bla Bistro Pub,39.895736592144466,32.79789889986339
4fa946bae4b00b5cf0e095ca,Bolu Mangalzade,39.909972757676776,32.77665780081483
4c7916a22d3ba14396e48cd0,Prestige Cinema,39.910308161582535,32.776246658443384
